Destino	Origem	Distancia	Metade
PortoAlegre	CornelioProcopio	1139.0	569.5
SaoJoseDosCampos	Ourinhos	455.0	227.5
ItarareSP	Londrina	308.0	154.0
PortoAlegre	MogiDasCruzes	1197.1	598.55
Maringa	CornelioProcopio	162.0	81.0
Ourinhos	SiqueiraCampos	105.0	52.5
CornelioProcopio	MogiDasCruzes	525.0	262.5
SiqueiraCampos	SaoRoque	369.0	184.5
Londrina	BalnearioCamboriu	607.0	303.5
Bauru	PortoAlegre	1278.0	639.0
SaoRoque	JoaquimTavora	363.0	181.5
BalnearioCamboriu	CornelioProcopio	620.0	310.0
Ubatuba	ItarareSP	560.0	280.0
SaoRoque	Londrina	489.0	244.5
PortoAlegre	SaoSebastiaoSP	1262.0	631.0
JoaquimTavora	BalnearioCamboriu	563.0	281.5
Ourinhos	SaltoGrande	24.5	12.25
SaltoGrande	Ibirarema	13.1	6.55
BalnearioCamboriu	PontaGrossa	335.0	167.5
Maringa	PortoAlegre	1165.1	582.55
Sapop	Ibaiti	120.0	60.0
ItarareSP	Ibaiti	163.0	81.5
Ibaiti	PontaGrossa	182.0	91.0
Ubatuba	SaoRoque	285.0	142.5
Ubatuba	Londrina	752.0	376.0
Ourinhos	SaoCarlos	278.0	139.0
SiqueiraCampos	SaltoGrande	122.0	61.0
MogiDasCruzes	SaoSebastiaoSP	166.0	83.0
Bauru	Ibirarema	147.0	73.5
SaoJoseDosCampos	SaoPaulo	89.7	44.85
SaoCarlos	Bauru	161.1	80.55
SaoPaulo	Bauru	330.2	165.1
Londrina	Ibaiti	158.0	79.0
Ibirarema	Maringa	256.0	128.0
Ibirarema	JoaquimTavora	110.0	55.0
JoaquimTavora	Maringa	276.0	138.0
JoaquimTavora	CornelioProcopio	115.0	57.5
SaoPaulo	SaoCarlos	238.0	119.0
