Destino	Origem	Distancia
PortoAlegre	CornelioProcopio	1139.0
SaoJoseDosCampos	Ourinhos	455.0
ItarareSP	Londrina	308.0
PortoAlegre	MogiDasCruzes	1197.1
Maringa	CornelioProcopio	162.0
Ourinhos	SiqueiraCampos	105.0
CornelioProcopio	MogiDasCruzes	525.0
SiqueiraCampos	SaoRoque	369.0
Londrina	BalnearioCamboriu	607.0
Bauru	PortoAlegre	1278.0
SaoRoque	JoaquimTavora	363.0
BalnearioCamboriu	CornelioProcopio	620.0
Ubatuba	ItarareSP	560.0
SaoRoque	Londrina	489.0
PortoAlegre	SaoSebastiaoSP	1262.0
JoaquimTavora	BalnearioCamboriu	563.0
Ourinhos	SaltoGrande	24.5
SaltoGrande	Ibirarema	13.1
BalnearioCamboriu	PontaGrossa	335.0
Maringa	PortoAlegre	1165.1
Sapop	Ibaiti	120.0
ItarareSP	Ibaiti	163.0
Ibaiti	PontaGrossa	182.0
Ubatuba	SaoRoque	285.0
Ubatuba	Londrina	752.0
Ourinhos	SaoCarlos	278.0
SiqueiraCampos	SaltoGrande	122.0
MogiDasCruzes	SaoSebastiaoSP	166.0
Bauru	Ibirarema	147.0
SaoJoseDosCampos	SaoPaulo	89.7
SaoCarlos	Bauru	161.1
SaoPaulo	Bauru	330.2
Londrina	Ibaiti	158.0
Ibirarema	Maringa	256.0
Ibirarema	JoaquimTavora	110.0
JoaquimTavora	Maringa	276.0
JoaquimTavora	CornelioProcopio	115.0
SaoPaulo	SaoCarlos	238.0
